F3
FGA
PROC
SERPINE2
F13B
FGB
KNG1
KLKB1
F7
F10
F9
SERPINF2
SERPINE1
F2
F8
F12
THPO
VWF
A2M
SERPINC1
PLG
F13A1
F5
F11
SERPINA5
F10a
F7a
TFPI
SERPING1
activated KNG1
F11a
F9a
F12a
F2a
SERPIND1
activated protein C
F8a
F5a
Fibrinogen
Fibrin
PF4
inactivated F8
soluble PROCR
F13
F13a
cleaved F13
