GP1BA
P2RX1
ITPR1
ITPR2
GP5
ITGB1
ITGA2
ITGA2
PTGIR
F2R
ITGA2B
ORAI1
GP9
TBXA2R
F2RL3
GP6
CD177
GP1BB
FCGR2A
THBD
PROCR
GPIb-IX-V
COL1A1
COL1A2
PIK3CB
SRC
APBB1IP
ADCY4
RASGRP2
TLN1
MYLK3
PLA2G4F
PRKCZ
ADCY1
LYN
GUCY1A2
MAPK13
MYL12A
GNAI3
ADCY8
VASP
MYL12B
SYK
ARHGEF1
ADCY6
MAPK12
MAPK3
GNAI2
MPL
PLCG2
ADCY3
PIK3R6
FYN
PIK3R1
PPP1CA
PLCB3
ADCY7
PIK3CA
AKT2
P2RY12
SNAP23
GUCY1B1
PPP1R12A
PRKCI
ACTB
PLCB1
GUCY1A1
VAMP8
ADCY9
C1QBP
BTK
STIM1
RHOA
MAPK1
MYLK4
ROCK2
PRKG2
PLA2G4E
PPP1CB
PLCB2
GNAI1
GNA13
RAP1A
MAPK11
ACTG1
NOS3
PLCB4
ARHGEF12
MYLK
PTGS1
PIK3R3
MYLK2
ROCK1
PIK3R2
PLA2G4A
PRKG1
PIK3CG
LCP2
GNAQ
PLA2G4B
PRKACG
ARHGAP35
GNAS
ITPR3
ADCY5
TBXAS1
P2RY1
PRKACB
TLN2
ADCY2
PLA2G4D
AKT1
PLA2G4C
PIK3R5
MAPK14
FCER1G
AKT3
RASGRP1
PIK3CD
PRKACA
PRTN3
PPP1CC
RAP1B
ITGB3
C1QBP
GPIb-IX-V
THBD
PROCR
PROS1
F2R
CD177
PRTN3
